virtual mem: 34621,	physical mem: 17981,	 value: 0
virtual mem: 51365,	physical mem: 32677,	 value: 0
virtual mem: 32820,	physical mem: 4148,	 value: 0
virtual mem: 48855,	physical mem: 32983,	 value: -75
virtual mem: 12224,	physical mem: 2752,	 value: 0
virtual mem: 2035,	physical mem: 33267,	 value: -4
virtual mem: 60539,	physical mem: 7291,	 value: 30
virtual mem: 14595,	physical mem: 33283,	 value: 64
virtual mem: 13853,	physical mem: 31261,	 value: 0
virtual mem: 24143,	physical mem: 33615,	 value: -109
virtual mem: 15216,	physical mem: 32368,	 value: 0
virtual mem: 8113,	physical mem: 33969,	 value: 0
virtual mem: 22640,	physical mem: 2928,	 value: 0
virtual mem: 32978,	physical mem: 4306,	 value: 32
virtual mem: 39151,	physical mem: 4079,	 value: 59
virtual mem: 19520,	physical mem: 22592,	 value: 0
virtual mem: 58141,	physical mem: 34077,	 value: 0
virtual mem: 63959,	physical mem: 21975,	 value: 117
virtual mem: 53040,	physical mem: 34352,	 value: 0
virtual mem: 55842,	physical mem: 34594,	 value: 54
virtual mem: 585,	physical mem: 17225,	 value: 0
virtual mem: 51229,	physical mem: 32541,	 value: 0
virtual mem: 64181,	physical mem: 4533,	 value: 0
virtual mem: 54879,	physical mem: 3679,	 value: -105
virtual mem: 28210,	physical mem: 34866,	 value: 27
virtual mem: 10268,	physical mem: 14620,	 value: 0
virtual mem: 15395,	physical mem: 31779,	 value: 8
virtual mem: 12884,	physical mem: 30292,	 value: 0
virtual mem: 2149,	physical mem: 35173,	 value: 0
virtual mem: 53483,	physical mem: 35563,	 value: 58
virtual mem: 59606,	physical mem: 26070,	 value: 58
virtual mem: 14981,	physical mem: 24709,	 value: 0
virtual mem: 36672,	physical mem: 35648,	 value: 0
virtual mem: 23197,	physical mem: 35997,	 value: 0
virtual mem: 36518,	physical mem: 14502,	 value: 35
virtual mem: 13361,	physical mem: 36145,	 value: 0
virtual mem: 19810,	physical mem: 36450,	 value: 19
virtual mem: 25955,	physical mem: 36707,	 value: 88
virtual mem: 62678,	physical mem: 470,	 value: 61
virtual mem: 26021,	physical mem: 36773,	 value: 0
virtual mem: 29409,	physical mem: 37089,	 value: 0
virtual mem: 38111,	physical mem: 37343,	 value: 55
virtual mem: 58573,	physical mem: 15565,	 value: 0
virtual mem: 56840,	physical mem: 37384,	 value: 0
virtual mem: 41306,	physical mem: 24922,	 value: 40
virtual mem: 54426,	physical mem: 19354,	 value: 53
virtual mem: 3617,	physical mem: 10017,	 value: 0
virtual mem: 50652,	physical mem: 18652,	 value: 0
virtual mem: 41452,	physical mem: 25068,	 value: 0
virtual mem: 20241,	physical mem: 16657,	 value: 0
virtual mem: 31723,	physical mem: 12267,	 value: -6
virtual mem: 53747,	physical mem: 1011,	 value: 124
virtual mem: 28550,	physical mem: 28038,	 value: 27
virtual mem: 23402,	physical mem: 20586,	 value: 22
virtual mem: 21205,	physical mem: 37845,	 value: 0
virtual mem: 56181,	physical mem: 25205,	 value: 0
virtual mem: 57470,	physical mem: 38014,	 value: 56
virtual mem: 39933,	physical mem: 38397,	 value: 0
virtual mem: 34964,	physical mem: 26772,	 value: 0
virtual mem: 24781,	physical mem: 38605,	 value: 0
virtual mem: 41747,	physical mem: 38675,	 value: -60
virtual mem: 62564,	physical mem: 356,	 value: 0
virtual mem: 58461,	physical mem: 15453,	 value: 0
virtual mem: 20858,	physical mem: 39034,	 value: 20
virtual mem: 49301,	physical mem: 8597,	 value: 0
virtual mem: 40572,	physical mem: 39292,	 value: 0
virtual mem: 23840,	physical mem: 39456,	 value: 0
virtual mem: 35278,	physical mem: 39886,	 value: 34
virtual mem: 62905,	physical mem: 28601,	 value: 0
virtual mem: 56650,	physical mem: 13386,	 value: 55
virtual mem: 11149,	physical mem: 40077,	 value: 0
virtual mem: 38920,	physical mem: 3848,	 value: 0
virtual mem: 23430,	physical mem: 20614,	 value: 22
virtual mem: 57592,	physical mem: 38136,	 value: 0
virtual mem: 3080,	physical mem: 40200,	 value: 0
virtual mem: 6677,	physical mem: 6677,	 value: 0
virtual mem: 50704,	physical mem: 26128,	 value: 0
virtual mem: 51883,	physical mem: 27307,	 value: -86
virtual mem: 62799,	physical mem: 28495,	 value: 83
virtual mem: 20188,	physical mem: 40668,	 value: 0
virtual mem: 1245,	physical mem: 40925,	 value: 0
virtual mem: 12220,	physical mem: 2748,	 value: 0
virtual mem: 17602,	physical mem: 41154,	 value: 17
virtual mem: 28609,	physical mem: 28097,	 value: 0
virtual mem: 42694,	physical mem: 20934,	 value: 41
virtual mem: 29826,	physical mem: 41346,	 value: 29
virtual mem: 13827,	physical mem: 31235,	 value: -128
virtual mem: 27336,	physical mem: 28872,	 value: 0
virtual mem: 53343,	physical mem: 35423,	 value: 23
virtual mem: 11533,	physical mem: 41485,	 value: 0
virtual mem: 41713,	physical mem: 41969,	 value: 0
virtual mem: 33890,	physical mem: 42082,	 value: 33
